[dotenv@17.2.3] injecting env (7) from .env.local -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
Loading FBS + FCS allow-list from CFBD…
(node:19948) Warning: Setting the NODE_TLS_REJECT_UNAUTHORIZED environment variable to '0' makes TLS connections and HTTPS requests insecure by disabling certificate verification.
(Use `node --trace-warnings ...` to show where the warning was created)
D1 allow-list: 265 programs (138 FBS + 127 FCS)
Loading cfb_teams from Supabase…
Teams to process: 262 (skipped 489 non-D1)
Seasons: 2010..2025 (16 per team)
Resume mode: skipping 7 teams synced in last 24h. Remaining: 255

[143/255] North Carolina                 | players:  716 | total: 72175 | calls: 2288 | ETA: ~18m   
[144/255] North Dakota                   | players:  320 | total: 72495 | calls: 2304 | ETA: ~18m   
[145/255] North Dakota State             | players:  278 | total: 72773 | calls: 2320 | ETA: ~18m   
[146/255] North Texas                    | players:  841 | total: 73614 | calls: 2336 | ETA: ~18m   
[147/255] Northern Arizona               | players:  375 | total: 73989 | calls: 2352 | ETA: ~18m   
[148/255] Northern Colorado              | players:  349 | total: 74338 | calls: 2368 | ETA: ~17m   
[149/255] Northern Illinois              | players:  749 | total: 75087 | calls: 2384 | ETA: ~17m   
[150/255] Northern Iowa                  | players:  327 | total: 75414 | calls: 2400 | ETA: ~17m   
[151/255] Northwestern State             | players:  413 | total: 75827 | calls: 2416 | ETA: ~17m   
[152/255] Northwestern                   | players:  564 | total: 76391 | calls: 2432 | ETA: ~17m   
[153/255] Notre Dame                     | players:  649 | total: 77040 | calls: 2448 | ETA: ~17m   
[154/255] Ohio                           | players:  725 | total: 77765 | calls: 2464 | ETA: ~16m   
[155/255] Ohio State                     | players:  729 | total: 78494 | calls: 2480 | ETA: ~16m   
[156/255] Oklahoma                       | players:  787 | total: 79281 | calls: 2496 | ETA: ~16m   
[157/255] Oklahoma State                 | players:  827 | total: 80108 | calls: 2512 | ETA: ~16m   
[158/255] Old Dominion                   | players:  597 | total: 80705 | calls: 2528 | ETA: ~16m   
[159/255] Ole Miss                       | players:  822 | total: 81527 | calls: 2544 | ETA: ~16m   
[160/255] Oregon                         | players:  735 | total: 82262 | calls: 2560 | ETA: ~15m   
[161/255] Oregon State                   | players:  705 | total: 82967 | calls: 2576 | ETA: ~15m   
[162/255] Penn State                     | players:  728 | total: 83695 | calls: 2592 | ETA: ~15m   
[163/255] Pennsylvania                   | players:  202 | total: 83897 | calls: 2608 | ETA: ~15m   
[164/255] Pittsburgh                     | players:  670 | total: 84567 | calls: 2624 | ETA: ~15m   
[165/255] Portland State                 | players:  317 | total: 84884 | calls: 2640 | ETA: ~15m   
[166/255] Prairie View A&M               | players:  384 | total: 85268 | calls: 2656 | ETA: ~15m   
[167/255] Presbyterian                   | players:  324 | total: 85592 | calls: 2672 | ETA: ~14m   
[168/255] Princeton                      | players:  212 | total: 85804 | calls: 2688 | ETA: ~14m   
[169/255] Purdue                         | players:  745 | total: 86549 | calls: 2704 | ETA: ~14m   
[170/255] Rhode Island                   | players:  320 | total: 86869 | calls: 2720 | ETA: ~14m   
[171/255] Rice                           | players:  608 | total: 87477 | calls: 2736 | ETA: ~14m   
[172/255] Richmond                       | players:  283 | total: 87760 | calls: 2752 | ETA: ~14m   
[173/255] Robert Morris                  | players:  273 | total: 88033 | calls: 2768 | ETA: ~13m   
[174/255] Rutgers                        | players:  800 | total: 88833 | calls: 2784 | ETA: ~13m   
[175/255] Sacramento State               | players:  369 | total: 89202 | calls: 2800 | ETA: ~13m   
[176/255] Sacred Heart                   | players:  296 | total: 89498 | calls: 2816 | ETA: ~13m   
[177/255] Sam Houston                    | players:  364 | total: 89862 | calls: 2832 | ETA: ~13m   
[178/255] Samford                        | players:  381 | total: 90243 | calls: 2848 | ETA: ~13m   
[179/255] San Diego State                | players:  744 | total: 90987 | calls: 2864 | ETA: ~12m   
[180/255] San Diego                      | players:  214 | total: 91201 | calls: 2880 | ETA: ~12m   
[181/255] San José State                 | players:  672 | total: 91873 | calls: 2896 | ETA: ~12m   
[182/255] SE Louisiana                   | players:  377 | total: 92250 | calls: 2912 | ETA: ~12m   
[183/255] SMU                            | players:  828 | total: 93078 | calls: 2928 | ETA: ~12m   
[184/255] South Alabama                  | players:  735 | total: 93813 | calls: 2944 | ETA: ~12m   
[185/255] South Carolina                 | players:  739 | total: 94552 | calls: 2960 | ETA: ~11m   
[186/255] South Carolina State           | players:  304 | total: 94856 | calls: 2976 | ETA: ~11m   
[187/255] South Dakota                   | players:  318 | total: 95174 | calls: 2992 | ETA: ~11m   
[188/255] South Dakota State             | players:  305 | total: 95479 | calls: 3008 | ETA: ~11m   
[189/255] South Florida                  | players:  783 | total: 96262 | calls: 3024 | ETA: ~11m   
[190/255] Southeast Missouri State       | players:  344 | total: 96606 | calls: 3040 | ETA: ~11m   
[191/255] Southern Illinois              | players:  364 | total: 96970 | calls: 3056 | ETA: ~10m   
[192/255] Southern                       | players:  330 | total: 97300 | calls: 3072 | ETA: ~10m   
[193/255] Southern Miss                  | players:  799 | total: 98099 | calls: 3088 | ETA: ~10m   
[194/255] Southern Utah                  | players:  430 | total: 98529 | calls: 3104 | ETA: ~10m   
[195/255] Stanford                       | players:  550 | total: 99079 | calls: 3120 | ETA: ~10m   
[196/255] Stephen F. Austin              | players:  421 | total: 99500 | calls: 3136 | ETA: ~10m   
[197/255] Stetson                        | players:  234 | total: 99734 | calls: 3152 | ETA: ~9m   
[198/255] Stonehill                      | players:  223 | total: 99957 | calls: 3168 | ETA: ~9m   
[199/255] Stony Brook                    | players:  334 | total: 100291 | calls: 3184 | ETA: ~9m   
[200/255] Syracuse                       | players:  668 | total: 100959 | calls: 3200 | ETA: ~9m   
[201/255] Tarleton State                 | players:  234 | total: 101193 | calls: 3216 | ETA: ~9m   
[202/255] TCU                            | players:  806 | total: 101999 | calls: 3232 | ETA: ~9m   
[203/255] Temple                         | players:  787 | total: 102786 | calls: 3248 | ETA: ~8m   
[204/255] Tennessee State                | players:  334 | total: 103120 | calls: 3264 | ETA: ~8m   
[205/255] Tennessee Tech                 | players:  369 | total: 103489 | calls: 3280 | ETA: ~8m   
[206/255] Tennessee                      | players:  812 | total: 104301 | calls: 3296 | ETA: ~8m   
[207/255] Texas A&M                      | players:  831 | total: 105132 | calls: 3312 | ETA: ~8m   
[208/255] Texas                          | players:  712 | total: 105844 | calls: 3328 | ETA: ~8m   
[209/255] Texas Southern                 | players:  288 | total: 106132 | calls: 3344 | ETA: ~8m   
[210/255] Texas State                    | players:  791 | total: 106923 | calls: 3360 | ETA: ~7m   
[211/255] Texas Tech                     | players:  804 | total: 107727 | calls: 3376 | ETA: ~7m   
[212/255] The Citadel                    | players:  352 | total: 108079 | calls: 3392 | ETA: ~7m   
[213/255] Toledo                         | players:  703 | total: 108782 | calls: 3408 | ETA: ~7m   
[214/255] Towson                         | players:  349 | total: 109131 | calls: 3424 | ETA: ~7m   
[215/255] Troy                           | players:  849 | total: 109980 | calls: 3440 | ETA: ~7m   
[216/255] Tulane                         | players:  675 | total: 110655 | calls: 3456 | ETA: ~6m   
[217/255] Tulsa                          | players:  723 | total: 111378 | calls: 3472 | ETA: ~6m   
